model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC
PaDiM,VisA,cashew,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5099999904632568
PaDiM,VisA,cashew,123,degradation,motion_blur,moderate,none,0.6720000505447388
PaDiM,VisA,cashew,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5449000000953674
PaDiM,VisA,cashew,123,degradation,motion_blur,severe,none,0.4580999612808227
PaDiM,VisA,cashew,123,rescue,motion_blur,severe,Wiener (Motion PSF),0.6258000135421753
PaDiM,VisA,cashew,123,degradation,sensor_noise,mild,none,0.4945999979972839
PaDiM,VisA,cashew,123,rescue,sensor_noise,mild,NLM Denoise,0.4912000000476837
PaDiM,VisA,cashew,123,degradation,sensor_noise,moderate,none,0.5186000466346741
PaDiM,VisA,cashew,123,rescue,sensor_noise,moderate,NLM Denoise,0.5181999802589417
PaDiM,VisA,cashew,123,degradation,sensor_noise,severe,none,0.4088000059127807
PaDiM,VisA,cashew,123,rescue,sensor_noise,severe,NLM Denoise,0.524399995803833
PaDiM,VisA,cashew,123,degradation,fog_haze,mild,none,0.426499992609024
PaDiM,VisA,cashew,123,rescue,fog_haze,mild,Dehaze (Dark Channel),0.465099960565567
PaDiM,VisA,cashew,123,degradation,fog_haze,moderate,none,0.5171999931335449
PaDiM,VisA,cashew,123,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.4771999716758728
PaDiM,VisA,cashew,123,degradation,fog_haze,severe,none,0.4639999866485595
PaDiM,VisA,cashew,123,rescue,fog_haze,severe,Dehaze (Dark Channel),0.4088000357151031
PaDiM,VisA,cashew,456,baseline,clean,none,none,0.8023999929428101
PaDiM,VisA,cashew,456,degradation,low_light,mild,none,0.6974000334739685
PaDiM,VisA,cashew,456,rescue,low_light,mild,CLAHE,0.6779999732971191
PaDiM,VisA,cashew,456,rescue,low_light,mild,Retinex,0.3708000183105469
PaDiM,VisA,cashew,456,degradation,low_light,moderate,none,0.3144000172615051
PaDiM,VisA,cashew,456,rescue,low_light,moderate,CLAHE,0.6222000122070312
PaDiM,VisA,cashew,456,rescue,low_light,moderate,Retinex,0.4650000035762787
PaDiM,VisA,cashew,456,degradation,low_light,severe,none,0.1376000046730041
PaDiM,VisA,cashew,456,rescue,low_light,severe,CLAHE,0.1941999793052673
PaDiM,VisA,cashew,456,rescue,low_light,severe,Retinex,0.5249000191688538
PaDiM,VisA,cashew,456,degradation,gaussian_blur,mild,none,0.6507999897003174
PaDiM,VisA,cashew,456,rescue,gaussian_blur,mild,Wiener,0.5051000118255615
PaDiM,VisA,cashew,456,degradation,gaussian_blur,moderate,none,0.5
PaDiM,VisA,cashew,456,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,cashew,456,degradation,gaussian_blur,severe,none,0.5
PaDiM,VisA,cashew,456,rescue,gaussian_blur,severe,Wiener,0.5
PaDiM,VisA,cashew,456,degradation,motion_blur,mild,none,0.6208000183105469
PaDiM,VisA,cashew,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PaDiM,VisA,cashew,456,degradation,motion_blur,moderate,none,0.4997999966144562
PaDiM,VisA,cashew,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,VisA,cashew,456,degradation,motion_blur,severe,none,0.4264000058174133
PaDiM,VisA,cashew,456,rescue,motion_blur,severe,Wiener (Motion PSF),0.5688999891281128
PaDiM,VisA,cashew,456,degradation,sensor_noise,mild,none,0.5313999652862549
PaDiM,VisA,cashew,456,rescue,sensor_noise,mild,NLM Denoise,0.5424000024795532
PaDiM,VisA,cashew,456,degradation,sensor_noise,moderate,none,0.4239999949932098
PaDiM,VisA,cashew,456,rescue,sensor_noise,moderate,NLM Denoise,0.6277999877929688
PaDiM,VisA,cashew,456,degradation,sensor_noise,severe,none,0.3285000026226043
PaDiM,VisA,cashew,456,rescue,sensor_noise,severe,NLM Denoise,0.6101999878883362
PaDiM,VisA,cashew,456,degradation,fog_haze,mild,none,0.4900000095367431
PaDiM,VisA,cashew,456,rescue,fog_haze,mild,Dehaze (Dark Channel),0.4382999539375305
PaDiM,VisA,cashew,456,degradation,fog_haze,moderate,none,0.5
PaDiM,VisA,cashew,456,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.5199999809265137
PaDiM,VisA,cashew,456,degradation,fog_haze,severe,none,0.5
PaDiM,VisA,cashew,456,rescue,fog_haze,severe,Dehaze (Dark Channel),0.5
PaDiM,VisA,chewinggum,42,baseline,clean,none,none,0.9748000502586364
PaDiM,VisA,chewinggum,42,degradation,low_light,mild,none,0.9254000186920166
PaDiM,VisA,chewinggum,42,rescue,low_light,mild,CLAHE,0.8898000121116638
PaDiM,VisA,chewinggum,42,rescue,low_light,mild,Retinex,0.7871999740600586
PaDiM,VisA,chewinggum,42,degradation,low_light,moderate,none,0.6832999587059021
PaDiM,VisA,chewinggum,42,rescue,low_light,moderate,CLAHE,0.8746000528335571
PaDiM,VisA,chewinggum,42,rescue,low_light,moderate,Retinex,0.6241999864578247
