model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC,training,experiment,held_out
PatchCore,MVTec-AD,cable,42,degradation,sensor_noise,mild,none,0.9192279577255249,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,cable,42,degradation,sensor_noise,moderate,none,0.8478260636329651,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,cable,42,degradation,sensor_noise,severe,none,0.7880434989929199,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,cable,42,degradation,sensor_noise,mild,none,0.6028860807418823,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,cable,42,degradation,sensor_noise,moderate,none,0.4690779745578766,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,cable,42,degradation,sensor_noise,severe,none,0.49981260299682617,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,cable,42,degradation,fog_haze,mild,none,0.8901798725128174,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,cable,42,degradation,fog_haze,moderate,none,0.8129685521125793,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,cable,42,degradation,fog_haze,severe,none,0.6999624967575073,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,cable,42,degradation,fog_haze,mild,none,0.7372563481330872,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,cable,42,degradation,fog_haze,moderate,none,0.6737256050109863,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,cable,42,degradation,fog_haze,severe,none,0.5299850106239319,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,capsule,42,degradation,low_light,mild,none,0.9278022050857544,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,capsule,42,degradation,low_light,moderate,none,0.6972476840019226,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,capsule,42,degradation,low_light,severe,none,0.7778221368789673,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,capsule,42,degradation,low_light,mild,none,0.6358197331428528,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,capsule,42,degradation,low_light,moderate,none,0.5285201072692871,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,capsule,42,degradation,low_light,severe,none,0.5305145978927612,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,capsule,42,degradation,gaussian_blur,mild,none,0.8476266264915466,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,capsule,42,degradation,gaussian_blur,moderate,none,0.4876346290111542,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,capsule,42,degradation,gaussian_blur,severe,none,0.5,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,capsule,42,degradation,gaussian_blur,mild,none,0.7554847002029419,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,capsule,42,degradation,gaussian_blur,moderate,none,0.6487834453582764,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,capsule,42,degradation,gaussian_blur,severe,none,0.5,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,capsule,42,degradation,motion_blur,mild,none,0.6936576962471008,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,capsule,42,degradation,motion_blur,moderate,none,0.4954128563404083,augmented_loco,leave_one_corruption_out,motion_blur
